name;province;short_description;url;tagline;latitude;longitude
Grand Elty Krakatoa Resort;Lampung;Biasa dikenal dengan sebutan Kalianda Resort, Grand Elty Krakatoa Resort adalah salah satu tujuan wisata yang cocok dikunjungi baik bersama keluarga;http://www.indonesia.travel/sites/site/974;Kemewahan Resort Berbalut Keindahan Tropis;-5.45025;105.28748
Candi Muara Takus;Riau;Terletak 122 km dari Pekanbaru, ibu kota Provinsi Riau, kompleks candi Muara Takus (atau Candi Muara Takus) dibangun di dekat sungai Kampar Kanan.;http://www.indonesia.travel/sites/site/415;-;0.97;100.28
Pelalawan;Riau;Beribukota di Pangkalan Kerinsi, Kabupaten Pelalawan merupakan jalur strategis perekonomian Pulau Sumatera;http://www.indonesia.travel/sites/site/895;Pintu Gerbang Menuju Petualangan Tiada Batas;0.376756;101.853424
Istana Siak;Riau;Sebuah kerajaan Melayu Islam terbesar di Riau telah meninggalkan jejak yang cantik di muka bumi. Itulah Istana Siak yang berada di Kabupaten Siak, Riau;http://www.indonesia.travel/sites/site/649;Istana Matahari Timur yang Menawan;0.795397;102.04871
Sungai Kampar dan Bono;Riau;Sejauh-jauh khayalan, pernahkan Anda membayangkan dapat berselancar (surfing) di;http://www.indonesia.travel/sites/site/894;Dahsyatnya Gelombang Tujuh Hantu di Riau;0.353749;101.89265
Indragiri Hilir;Riau;Indragiri Hilir adalah sebuah kabupaten di selatan Provinsi Riau dengan ibu kotanya Tembilahan;http://www.indonesia.travel/sites/site/721;Berwisata di Negeri Seribu Jembatan;-0.145668;102.989613
Hutan Suaka Marga Satwa Kerumutan;Riau;Suaka margasatwa ini terhampar di kawasan seluas total 1.332.169 ha dan dihuni berbagai jenis flora dan fauna khas hutan dataran rendah.;http://www.indonesia.travel/sites/site/898;Berpetualang di Salah Satu Paru-Paru Bumi;0.37791;101.853554
Pekanbaru;Riau;Kota multietnik ini merupakan wilayah pelabuhan di tepi Sungai Siak dan dikenali sebagai 'ibu kota-nya minyak bumi Indonesia. Akan tetapi, kini perekonomiannya justru lebih mengeliat dari beragam sektor bisnis;http://www.indonesia.travel/sites/site/722;-;0.533516;101.450057
Siak;Riau;Siak adalah sebuah kabupaten di Provinsi Riau yang dulunya merupakan pusat kesultanan Islam terbesar di Riau yaitu Siak Sri Indrapura.;http://www.indonesia.travel/sites/site/720;Mengunjungi Negeri Istana Warisan Kesultanan Siak Sri Indrapura;0.822147;102.032754
Taman Nasional Zambrud;Riau;Berlokasi di Desa Zambrud, Kecamatan Siak Indrapura, Kabupaten Siak, Provinsi Riau, kawasan Taman Nasional Zambrud menyuguhkan keindahan yang seakan representasi keelokan batu zamrud yang banyak digemari itu.;http://www.indonesia.travel/sites/site/719;Keindahan Danau Air Hitam dan Kemegahan Hutan Rawa di Siak;0.783433;102.069683
Taman Nasional Tesso Nilo;Riau;Berada di Provinsi Riau, Tesso Nilo merupakan hutan hujan dataran rendah terluas di Pulau Sumatera. Dengan luas area mencapai 83.068 hektar, kawasannya membentang sepanjang 4 kabupaten;http://www.indonesia.travel/sites/site/929;Paru-Paru Bumi di Sumatera;-0.075595;101.623126
Bagansiapiapi;Riau;Kota ini terbilang istimewa ibarat Taiwan di Pulau Sumatera.;http://www.indonesia.travel/sites/site/1159;Pecinan Bumi Melayu Lancang Kuning;2.159042;100.816329
Padang;Sumatera Barat;Padang merupakan ibu kota Sumatera Barat dan merupakan pintu gerbang ke dataran tinggi Minang.;http://www.indonesia.travel/sites/site/467;-;-0.926519;100.352
Danau Singkarak;Sumatera Barat;Sebuah gambar lukis panorama alam dari tahun 1905 menampilkan keindahan Danau Singkarak.;http://www.indonesia.travel/sites/site/466;-;-0.604717;100.54
Bukittinggi;Sumatera Barat;Bukittinggi adalah nama sebuah kota yang terletak di bagian utara Provinsi Sumatera Barat.;http://www.indonesia.travel/sites/site/463;Kota Sejuk dengan Panorama Alam Memukau;-0.257732;100.383
Kepulauan Mentawai;Sumatera Barat;Kepulauan Mentawai adalah bagian dari Provinsi Sumatera Barat dimana sejak tahun 1999 ditetapkan menjadi sebuah kabupaten.;http://www.indonesia.travel/sites/site/62;Surganya Peselancar dan Budaya Masyarakat Neolitikum;-1.34955;98.8893
Lembah Harau;Sumatera Barat;Perjalanan 1,5 jam dari Bukittinggi ke arah barat tidak akan sia-sia karena Anda akan disuguhkan suasana alam pegunungan dihiasi jejeran air terjun indah setinggi ± 100 meter.;http://www.indonesia.travel/sites/site/618;Lembah Indah dan Surga Pecinta Panjat Tebing;-0.102791;100.696
Sawahlunto;Sumatera Barat;Apa yang Anda bayangkan saat berada di Sumatera Barat, suasana alam hijau nan asri, budaya Minang yang menakjubkan;http://www.indonesia.travel/sites/site/628;Kota Tua Bernuansa Pertambangan;-0.666271;100.784
Taman Nasional Kerinci Seblat;Sumatera Barat;Taman Nasional Kerinci Seblat (TNKS) adalah area konservasi alam. Taman seluas 1.368.000 Ha (hasil tata batas) ini terletak di empat provinsi, yaitu: Sumatera Barat, Jambi, Bengkulu,;http://www.indonesia.travel/sites/site/175;-;-2.14;101.49
Ngarai Sianok;Sumatera Barat;Ngarai Sianok memiliki dua dinding yang hampir vertikal dan saling berhadapan. Tingginya sekitar 100 sampai 200 meter dan panjangnya sekitar 15 km.;http://www.indonesia.travel/sites/site/163;-;-0.30797;100.366
Pantai Air Manis;Sumatera Barat;Pantai Air Manis berkaitan erat dengan legenda Malin Kundang di Sumatera Barat;http://www.indonesia.travel/sites/site/183;Melihat Legenda Batu Malin Kundang;-0.99;100.36
Desa Madobak, Ugai dan Matotonan;Sumatera Barat;Desa Madobak, Ugai dan Matotonan sebenarnya tidak didesain untuk destinasi wisata, tapi budaya tradisional dan hidup mereka sangat lestari dan unik;http://www.indonesia.travel/sites/site/170;-;-1.59602;99.0541
Danau Maninjau;Sumatera Barat;Danau Maninjau yang indah di Sumatra Barat adalah salah satu yang terhening di Indonesia.;http://www.indonesia.travel/sites/site/464;Bentang Alam yang Menyegarkan;-0.319434;100.195
Jam Gadang;Sumatera Barat;Jam Gadang merupakan ikon Bukittinggi. Dalam bahasa Indonesia, Jam Gadang berarti jam besar dan memang besar!;http://www.indonesia.travel/sites/site/253;-;-0.26;100.38
Pulau Sipora;Sumatera Barat;Pulau Sipora merupakan pulau terkecil namun yang paling strategis dan memadai di kawasan Kepulauan Mentawai, Sumatera Barat.;http://www.indonesia.travel/sites/site/875;Menantang Empat Ombak Kelas Dunia di Mentawai;-2.222457;99.678555
Pulau Siberut;Sumatera Barat;Pulau Siberut adalah pulau terbesar di Kepulauan Mentawai dan berada di lepas pantai Sumatera Barat yang dipisahkan oleh Selat Mentawai.;http://www.indonesia.travel/sites/site/873;Menyambangi Kehidupan Suku Mentawai dan Jelajah Taman Nasional Siberut;-1.4116;98.925476
Danau Kembar;Sumatera Barat;Kabupaten Solok merupakan wilayah yang memiliki danau-danau indah. Daerah hijau dan subur ini berada pada ketinggian 400-1.700 mdpl dan memiliki empat buah danau;http://www.indonesia.travel/sites/site/469;Keindahan Alam Berselimut Nuansa Mistis;-0.97214;100.68
Bunker Jepang;Sumatera Barat;Bunker Jepang yang terletak di kota Bukittinggi dibangun oleh orang Indonesia melalui kerja paksa dibawah tekanan tentara Jepang yang menduduki Indonesia;http://www.indonesia.travel/sites/site/155;-;-0.26;100.38
Gunung Talang;Sumatera Barat;Gunung Talang berada 2.572 meter di atas permukaan laut dan memiliki pemandangan yang menenangkan.;http://www.indonesia.travel/sites/site/60;-;-0.97739;100.674
Pulau Bungus;Sumatera Barat;Pulau Bungus dilindungi oleh sebuah teluk. Ada dua pantai yang menarik di sini: Carolina dan Karang Tinta.;http://www.indonesia.travel/sites/site/54;-;-0.94;100.37
Batu Basurek;Sumatera Barat;Batu Basurek adalah batu prasasti yang bertuliskan naskah Palava kuno India, menceritakan legenda Adityawarman pada tahun 1347;http://www.indonesia.travel/sites/site/59;-;-0.45936;100.436
Batang Palupuh;Sumatera Barat;Batang Palupuh adalah sebuah tempat perlindungan bunga-bunga raksasa Rafflesia Arnoldi, yang hanya mekar setahun sekali pada bulan November.;http://www.indonesia.travel/sites/site/56;-;-0.31;100.28
Taman Raya Bung Hatta;Sumatera Barat;Bagi penggemar tumbuh-tumbuhan, Taman Raya Bung Hatta adalah keindahan yang alami, penuh dengan tanaman langka dan bunga-bunga eksotis.;http://www.indonesia.travel/sites/site/58;-;-0.77085;100.48
Anai Golf and Mountain Resort;Sumatera Barat;Anai Golf dan Mountain Resort terletak di lingkungan hijau dan alam yang indah.;http://www.indonesia.travel/sites/site/465;-;-0.257732;100.383
Anai Resort and Golf Course;Sumatera Barat;Anai Resor ini terletak di alam yang indah dan berada 550 meter di atas permukaan laut.;http://www.indonesia.travel/sites/site/55;-;-0.94;100.37
Payakumbuh;Sumatera Barat;Saat Anda berada di Padang, sempatkanlah berkunjung ke Payakumbuh. Anda hanya perlu berkendara selama sekitar 2,5 jam atau sejauh 125 km untuk mencicipi keindahan alamnya yang menyegarkan mata;http://www.indonesia.travel/sites/site/625;Keindahan Alam berbalut Nikmatnya Batiah;-0.223846;100.632
Padang Panjang;Sumatera Barat;Padang Panjang adalah sebuah kota kecil di Provinsi Sumatera Barat yang berada di ketinggian lebih dari 700 mdpl sehingga menjadikannya memiliki suhu udara yang sejuk.;http://www.indonesia.travel/sites/site/626;Kota Sejuk Bernafaskan Islam;-0.441509;100.417
Pasumpahan;Sumatera Barat;Sebuah pulau tidak berpenghuni dengan luas yang tidak seberapa siap menyuguhkan bingkisan pulau tropis nan indah di Sumatera Barat.;http://www.indonesia.travel/sites/site/1033;Menemukan Pulau Tropis nan Indah Dekat Kota Padang;-1.13564;100.37109
Museum Goedang Ransoem;Sumatera Barat;WH de Greeve, seorang ahli geologi Belanda sekaligus Sang Penemu batubara di Sawahlunto tahun 1868 memperkirakan ada lebih dari 200 juta ton kandungan mutiara mitam atau batubara;http://www.indonesia.travel/sites/site/710;Warisan Kota Tambang Legendaris Sawahlunto;-0.678736;100.78068
Pulau Nyang Nyang;Sumatera Barat;Pulau Nyang-Nyang adalah satu dari gugusan Kepulauan Mentawai. Keberadaanya telah dikenal hingga ke mancanegara sebagai surganya bagi peselancar. Mereka menyebut-nyebut bahwa ombak di Mentawai sebagai terbaik ketiga di dunia;http://www.indonesia.travel/sites/site/872;Memburu Ratusan Ombak di Mentawai;-1.594185;99.056625
Jembatan Akar Bayang dan Air Terjun Bayang Sani;Sumatera Barat;Jembatan Akar dan Air Terjun Bayang berlokasi di Kecamatan Bayang, Kabupaten Pesisir Selatan. Keduanya tidak berada di satu tempat namun juga tidak terlalu jauh untuk dijangkau.;http://www.indonesia.travel/sites/site/1010;Kealamian nan Memukau di Pesisir Selatan;-1.9175;100.99082
Museum Adityawarman;Sumatera Barat;Museum Adityawarman merupakan museum budaya terpenting di Sumatera Barat yang merangkum kebudayaan Minangkabau. Dengan kelengkapan benda koleksinya maka museum ini layak bila disebut banyak orang sebagai Taman Mini ala Sumatera;http://www.indonesia.travel/sites/site/1004;Ruang Lengkap Kebudayaan Minangkabau;-1.13875;100.41953
Museum Tambang Batu Bara Ombilin;Sumatera Barat;Museum Tambang Batu Bara Ombilin menjadi pelengkap rentetan museum yang dihadirkan Sawahlunto sebagai  kota warisan tambang kolonial yang kini berwawasan wisata sejarah tambang.;http://www.indonesia.travel/sites/site/996;Rangkaian Jejak Tambang di Sawahlunto;-0.59138;101.18633
Kawasan Wisata Mandeh;Sumatera Barat;Gugusan puluhan pulau yang indah membentang seluas 18 hektare di Teluk Carocok, Kabupaten Pesisir Selatan di Sumatera Barat.;http://www.indonesia.travel/sites/site/1181;Surga di Pesisir Selatan Sumatera Barat;0;0
Pulau Cubadak;Sumatera Barat;Keindahan Mandeh di Kabupaten Pesisir Selatan, Sumatera Barat disanjung-sanjung tidak kalah denganRaja Ampat. Gugusan pulau di kawasan ini memiliki keunikannya masing-masingmembalut ketenangan lautnya.;http://www.indonesia.travel/sites/site/1182;Pulau Tersenyap di Dunia di Tengah Samudera Hindia;0;0
Benteng Fort De Kock;Sumatera Barat;Mengunjungi Kota Bukittinggi di Provinsi Sumatera Barat bukan hanya menikmati keelokan alam dan hawanya yang sejuk. Kota pemilik Jam Gadangnya ini juga menyimpan peninggalan sejarah yang bisa Anda kunjungi;http://www.indonesia.travel/sites/site/1196;Jejak Perang Paderi di Sumatera Barat;0;0
Palembang;Sumatera Selatan;alembang adalah salah satu kota besar di Indonesia dan merupakan ibu kota provinsi Sumatera Selatan. Kota terbesar kedua di Sumatera setelah Medan ini  diyakini pernah menjadi pusat Kerajaan Sriwijaya;http://www.indonesia.travel/sites/site/374;Menikmati Wisata Kota di Sungai Musi;-2.99;104.74
Jelajah Sungai Musi;Sumatera Selatan;Jangan sampai Anda melewatkan waktu untuk melakukan tur di Sungai Musi;http://www.indonesia.travel/sites/site/210;Menyusuri Masa Lalu Palembang;-2.99;104.76
Gunung Dempo;Sumatera Selatan;Berdiri 3195 meter di atas permukaan laut, Gunung Dempo adalah gunung tertinggi di Sumatera Selatan.;http://www.indonesia.travel/sites/site/571;Sensasi Pendakian yang Menantang;-3.98715;103.127
Jembatan Ampera;Sumatera Selatan;Jembatan Ampera dibangun pada bulan April 1962, setelah mendapatkan persetujuan dari Presiden Soekarno.;http://www.indonesia.travel/sites/site/227;-;-2.99213;104.764
Pusat Ukiran Kayu di Palembang;Sumatera Selatan;Pusat Ukiran kayu di Palembang terletak di jalan Faqih Jalaluddin, dekat Masjid Agung Palembang.;http://www.indonesia.travel/sites/site/216;-;-2.97718;104.73
Goa Putri;Sumatera Selatan;Goa Putri adalah tujuan wisata terkemuka di Provinsi Sumatera Selatan, terletak 230 kilometer dari Palembang, atau 35 kilometer dari Baturaja;http://www.indonesia.travel/sites/site/179;-;-3.54;103.81
Masjid Agung Palembang;Sumatera Selatan;Masjid Agung Palembang merupakan salah satu warisan Kesultanan Palembang. Masjid ini dikenal sebagai pusat kota Palembang. Dibangun 1738-1748 oleh Sultan Mahmud Badaruddin I;http://www.indonesia.travel/sites/site/226;-;-2.99;104.74
Taman Nasional Sembilang;Sumatera Selatan;Taman Nasional Sembilang merupakan lahan basah luas dengan berbagai ekosistem hutan mulai dari gambut rawa, rawa air tawar, hutan mangrove dan dataran lumpur.;http://www.indonesia.travel/sites/site/199;-;-2.98;104.75
Pulau Kemaro;Sumatera Selatan;Pulau Kemaro berada di delta Sungai Musi. Nama Pulau Kemaro diberikan penduduk setempat karena delta ini selalu kering dan tidak pernah berair;http://www.indonesia.travel/sites/site/178;-;-2.98;104.81
Museum Sultan Mahmud Badaruddin II;Sumatera Selatan;Museum Sultan Mahmud Badaruddin II yang berada di seberang Sungai Musi ini memiliki bentuk asli bangunan tidak berubah;http://www.indonesia.travel/sites/site/162;-;-2.97;104.75
Benteng Kuto Besak;Sumatera Selatan;Benteng Kuto Besak berdiri kokoh di ketinggian 10 meter dimana dari sini Anda dapat menyaksikan kapal-kapal berlalu-lalang di Sungai Musi.;http://www.indonesia.travel/sites/site/552;Keindahan dan Warisan Sejarah di Tepian Sungai Musi;-2.99;104.74
Air Terjun Lematang Indah;Sumatera Selatan;Palembang tidak hanya kaya dengan budaya dan tradisinya tetapi juga memiliki alam yang indah.;http://www.indonesia.travel/sites/site/682;Menikmati Tumpahan Air Menderu dari Ketinggian 40 meter;-4.07677;103.332872
Palembang Golf Club;Sumatera Selatan;Fasilitas: Club House,  Loker, Kamar mandi, Pro-Shop, Restoran, Golf Club untuk disewa, Driving Range, Total hole: 18;http://www.indonesia.travel/sites/site/375;-;-2.99;104.74
Taman Purbakala Kerajaan Sriwijaya;Sumatera Selatan;Taman Purbakala Kerajaan Sriwijaya adalah peninggalan Kerajaan Sriwijaya yang terletak di tepian Sungai Musi. Anda dapat menemukannya di kota Palembang, tepatnya di Karanganyar, Kecamatan Ilir Barat II.;http://www.indonesia.travel/sites/site/671;Situs yang Terlupakan;-3.016056;104.734436
Candi Bumi Ayu;Sumatera Selatan;Menyambangi Sumatera Selatan tidaklah lengkap rasanya apabila belum berkunjung ke Candi Bumi Ayu.;http://www.indonesia.travel/sites/site/673;Menemukan Warisan Hindu di Sumatera Selatan;-3.516307;103.8442
Jakabaring Sport City;Sumatera Selatan;Pengembangan Jakabaring awalnya hanya stadion sepak bola yang menjadi kandang klub sepak bola kebanggaan kota Palembang yaitu Sriwijaya FC.;http://www.indonesia.travel/sites/site/683;Kebanggaan Insan Olah Raga Palembang;-3.020921;104.785355
Pendopo Golf Club;Sumatera Selatan;"Fasilitas: Club House, Loker, Kamar mandi, Driving Range Total hole: 18 Total Par: 71 Jenis lapangan: Anggota Anggota dari: PGI; APLGI Tahun Pendirian: 1972";http://www.indonesia.travel/sites/site/376;-;-2.99;104.74
Perkumpulan Golf Prabumulih;Sumatera Selatan;Lapangan golf yang menantang ini terletak di daerah konservasi alam, menciptakan lingkungan yang indah untuk bermain golf.;http://www.indonesia.travel/sites/site/378;-;-2.99;104.74
Taman Bukit Siguntang;Sumatera Selatan;Di sebuah bukit setinggi sekitar 27 meter di atas permukaan laut Anda akan mendapat penggalan sejarah Kerajaan Nusantara dengan bonus pesona indah Kota Palembang.;http://www.indonesia.travel/sites/site/669;Sepenggal Sejarah Kerajaan Sriwijaya;-2.981543;104.70819
Makam Kawah Tekurep;Sumatera Selatan;Palembang memang memiliki banyak tujuan wisata yang bisa dikunjungi, mulai dari wisata air, budaya, sejarah, museum, alam dan wisata ziarah.;http://www.indonesia.travel/sites/site/681;Ziarah ke Keluarga Kesultanan Palembang Darussalam;-2.971648;104.834976
Danau Toba;Sumatera Utara;Danau Toba merupakan keajaiban alam menakjubkan di Pulau Sumatera. Sulit membayangkan ada tempat yang lebih indah untuk dikunjungi di Sumatera Utara selain danau ini.;http://www.indonesia.travel/sites/site/48;Keajaiban Wisata Alam yang Menakjubkan;2.66;98.94
Medan;Sumatera Utara;Medan, ibu kota Sumatera Utara, merupakan kota pusat ekonomi dan komersial terbesar di Sumatera.;http://www.indonesia.travel/sites/site/475;Kota Modern dan Warisan Kolonial Belanda;3.60135;98.675
Pulau Nias;Sumatera Utara;Berkunjung ke Pulau Nias serasa menelusuri kehidupan masa lalu, waktu seakan berhenti dipagari budaya megalit yang masih lestari.;http://www.indonesia.travel/sites/site/730;Jejak Budaya Mengagumkan Di Samudera Hindia dan Surganya Peselancar Dunia;1.131518;97.525177
Bukit Lawang;Sumatera Utara;Jelajahi hutan Sumatera dan rasakan petualangan outdoor ditemani orangutan selama Anda berada di desa di dalam hutan Bukit Lawang.;http://www.indonesia.travel/sites/site/53;-;3.7877;98.2282
Brastagi: Menikmati Kesejukan dan Buah Segar;Sumatera Utara;Kota yang indah ini terhampar di dataran tinggi Karo, 70 km dari Medan. Terletak di ketinggian 1300 m dpl;http://www.indonesia.travel/sites/site/47;-;3.18567;98.4809
Di Dalam Hutan Lebat Desa Tangkahan;Sumatera Utara;Sering disebut sebagai surga tersembunyi Sumatera, hutan lebat dan topografi Tangkahan yang mengagumkan, membuat desa ini menjadi tempat wisata yang luar biasa.;http://www.indonesia.travel/sites/site/476;-;3.62393;98.05573
Budaya Leluhur di Desa Jangga;Sumatera Utara;Datang dan rasakanÂ  kehidupan suku Batak tradisional di sebuah desa yang sebagian besar wilayahnya belum tersentuh oleh dunia modern. ;http://www.indonesia.travel/sites/site/49;-;2.55915;98.7995
Istana Maimun;Sumatera Utara;Setiap kota biasanya memiliki ikon yang menjadi penanda sekaligus kebanggaan masyarakatnya.;http://www.indonesia.travel/sites/site/676;Salah Satu Istana Termegah dan Terindah di Indonesia;3.57556;98.68443
Candi Bahal (Candi Portibi);Sumatera Utara;Inilah jejak agama Budha di Provinsi Sumatera Utara, berlokasi di Kabupaten Padang Lawas, sekitar 400 km dari Kota Medan.;http://www.indonesia.travel/sites/site/613;Menapaki Jejak Agama Budha Wajrayana di Sumatera;1.40885;99.7256
Teluk Dalam;Sumatera Utara;Pemandangan alam nan indah, tradisi dan sejarah yang layakÂ  ditelusuri ada semua di kota ini.;http://www.indonesia.travel/sites/site/878;Sejarah, Tradisi dan Selancar di Nias Selatan;0.696241;97.833023
Pulau Mursala;Sumatera Utara;Kapal cepat berlayar mengarungi Teluk Tapanuli menuju salah satu pulau di dekatnya.;http://www.indonesia.travel/sites/site/989;Mereguk Keindahan Air Terjun nan Memukau di Tapanuli Tengah;99.7256;1.40885
Kota Sibolga;Sumatera Utara;Kota Sibolga merupakan salah satu kota di Sumatera Utara. Letaknya di pantai barat Pulau Sumatera dan berada di dalam kawasan Teluk Tapian Nauli.;http://www.indonesia.travel/sites/site/993;Negeri Berbilang Kaum dengan Alam yang Cantik;2.04302;98.85938
Desa Tuktuk Siadong;Sumatera Utara;Pastikan kunjungan Anda ke Danau Toba untuk menginap di Desa Wisata Tuktuk Siadong, sebuah tempat indah di sebuah tanjung kecil di Pulau Samosir.;http://www.indonesia.travel/sites/site/735;Menikmati Daya Pukau Danau Toba di Di Tanjung Kecil Pulau Samosir;2.388834;98.736877
Huta Siallagan;Sumatera Utara;Kampung Siallagan terletak di Desa Ambarita, Kecamatan Simanindo, Pulau Samosir. Perkampungan yang mirip benteng ini lokasinya berdekatan dengan Danau Toba;http://www.indonesia.travel/sites/site/741;Menyimak Cerita dari Batu Parsidangan Raja Siallagan;2.591203;98.835411
Pantai Lagundri dan Pantai Sorake;Sumatera Utara;Sejak 1993, pantai ini terkuak kesempurnaanya untuk surfing oleh para penunggang papan selancar dunia. Mereka memacu adrenalin di lautan biru berselimutkan gulungan ombak dan bermandikan Matahari Tropis;http://www.indonesia.travel/sites/site/731;Salah Satu dari 10 Lokasi Surfing Terbaik di Dunia;0.659165;97.833252
Pantai Pandan;Sumatera Utara;Sengatan Matahari menyapa pagi di Pantai Pandan. Sebagian wisatawan berteduh di gazebo, sebagian lagi membiarkan kulit mereka bermandikan cahaya.;http://www.indonesia.travel/sites/site/990;Menyusuri Keindahan Panorama Pesisir Tapanuli Tengah;1.72459;98.78906
Barus;Sumatera Utara;Sejak berabad lamanya dan bahkan hingga saat detik ini, kapur barus dimanfaatkan oleh seluruh dunia sebagai wewangian hingga obat-obatan.;http://www.indonesia.travel/sites/site/991;Pintu Masuk Islam di Indonesia;1.99758;98.42708
Museum Batak Balige;Sumatera Utara;Museum ini berlokasi di Jalan Pagar Batu No. 88 Balige, Toba Samosir, Sumatera Utara, atau tepatnya di Komplek TB Silalahi Center, Desa Soposurung, Balige;http://www.indonesia.travel/sites/site/737;Menyusuri Kebudayaan Batak di TB Silalahi Center;2.335407;99.083118
Kepulauan Banyak;Sumatera Utara;Satu atau dua hari berada di Kepulauan Banyak tampaknya begitu singkat. Alam nan indah dipadu dengan ketentraman yang luar biasa adalah daya pikatnya.;http://www.indonesia.travel/sites/site/1042;Wajah Indah Pesisir Selatan Aceh;2.15858;97.27604
Museum Pusaka Nias;Sumatera Utara;Museum Pusaka Nias merupakan satu-satunya wahana penyimpan kemegahan budaya Nias. Berlokasi di Jalan Yos Sudarso No. 134-A Gunungsitoli, Nias, Sumatera Utara;http://www.indonesia.travel/sites/site/732;Wahana Kemegahan Budaya Nias;1.269847;97.595673
Samosir;Sumatera Utara;Samosir merupakan wilayah unik karena merupakan pulau vulkanik yang bertengger di tengah Danau Toba, Provinsi Sumatera Utara.;http://www.indonesia.travel/sites/site/1194;Pulau Raksasa nan Indah di Tengah Danau Toba;0;0
Desa Tomok;Sumatera Utara;Desa Tomok adalah pintu gerbang wisatawan yang ingin menikmati Pulau Samosir dari Pelabuhan Ajibata, Parapat. Desa ini berlokasi di Kecamatan Simanindo, Kabupaten Samosir, Sumatera Utara;http://www.indonesia.travel/sites/site/1205;Menikmati Budaya Batak dengan Banyak Cerita;0;0
